organization_name	datasource	primary_account	datasource_account	datasource_account_name	primary_account_name
BH Management	BH Management - BH Management		1777-23	Rehab Ex Fit Ctr-Furnishings	
BH Management	BH Management - BH Management		1777-24	Rehab Ex Fit Ctr-Equipment	
BH Management	BH Management - BH Management		1777-25	Rehab Ex Fit Ctr-Carpet	
BH Management	BH Management - BH Management		1777-29	Rehab Ex Fit Ctr-Other	
BH Management	BH Management - BH Management		1777-31	Rehab Ex Bus Ctr-Exterior Upgrades	
BH Management	BH Management - BH Management		1777-32	Rehab Ex Bus Ctr-Interior Upgrades	
BH Management	BH Management - BH Management		1777-33	Rehab Ex Bus Ctr-Furnishings	
BH Management	BH Management - BH Management		1777-34	Rehab Ex Bus Ctr-Equipment	
BH Management	BH Management - BH Management		1777-35	Rehab Ex Bus Ctr-Carpet	
BH Management	BH Management - BH Management		1777-39	Rehab Ex Bus Ctr-Other	
BH Management	BH Management - BH Management		1777-41	Rehab Ex Model-Exterior Upgrades	
BH Management	BH Management - BH Management		1777-42	Rehab Ex Model-Interior Upgrades	
BH Management	BH Management - BH Management		1777-43	Rehab Ex Model-Furnishings	
BH Management	BH Management - BH Management		1777-44	Rehab Ex Model-Equipment	
BH Management	BH Management - BH Management		1777-45	Rehab Ex Model-Carpet	
BH Management	BH Management - BH Management		1777-49	Rehab Ex Model-Other	
BH Management	BH Management - BH Management		1777-90	Rehab Admin Bldgs-Other	
BH Management	BH Management - BH Management		1778-01	Rehab Ex Int Apt-Floor Tile	
BH Management	BH Management - BH Management		1778-02	Rehab Ex Int Apt-Appliances	
BH Management	BH Management - BH Management		1778-04	Rehab Ex Int Apt-Mirrors	
BH Management	BH Management - BH Management		1778-06	Rehab Ex Int Apt-Cabinetry	
BH Management	BH Management - BH Management		1778-07	Rehab Ex Int Apt-Counters	
BH Management	BH Management - BH Management		1778-08	Rehab Ex Int Apt-Wood Trim/Doors	
BH Management	BH Management - BH Management		1778-09	Rehab Ex Int Apt-Carpet	
BH Management	BH Management - BH Management		1778-10	Rehab Ex Int Apt-Plumb Fixtures/Sinks/Garbage Disposal	
BH Management	BH Management - BH Management		1778-11	Rehab Ex Int Apt-Replumbing	
BH Management	BH Management - BH Management		1778-12	Rehab Ex Int Apt-Light Fixtures	
BH Management	BH Management - BH Management		1778-15	Rehab Ex Int Apt-Tub Enclosures	
BH Management	BH Management - BH Management		1778-16	Rehab Ex Int Apt-Ceiling Fans	
BH Management	BH Management - BH Management		1778-17	Rehab Ex Int Apt-Lt Wt Concrete	
BH Management	BH Management - BH Management		1778-18	Rehab Ex Int Apt-Ceilings/Walls	
BH Management	BH Management - BH Management		1778-19	Rehab Ex Int Apt-Resurfacing/ReGlazing	
BH Management	BH Management - BH Management		1778-60	Rehab Ex Int Apt-Furnaces/AC Units	
BH Management	BH Management - BH Management		1778-61	Rehab Ex Int Apt-Hot Water Heaters	
BH Management	BH Management - BH Management		1778-90	Rehab Ex Int Apt-Other	
BH Management	BH Management - BH Management		1779-01	Rehab Ex Misc-Signage	
BH Management	BH Management - BH Management		1779-02	Rehab Ex Misc-ADA Compliance	
BH Management	BH Management - BH Management		1779-03	Rehab Ex Misc-Elevators	
BH Management	BH Management - BH Management		1779-04	Rehab Ex Misc-Asbestos Removal	
BH Management	BH Management - BH Management		1779-05	Rehab Ex Misc-Lead Paint Compliance	
BH Management	BH Management - BH Management		1779-06	Rehab Ex Misc-Utility Conservation	
BH Management	BH Management - BH Management		1779-07	Rehab Ex Misc-Equipment	
BH Management	BH Management - BH Management		1779-08	Rehab Ex Misc-Architectual Fees	
BH Management	BH Management - BH Management		1779-09	Rehab Ex Misc-Consulting Fees	
BH Management	BH Management - BH Management		1779-10	Rehab Ex Misc-Contingency	
BH Management	BH Management - BH Management		1779-11	Rehab Ex Misc-Mold Compliance	
BH Management	BH Management - BH Management		1779-12	Rehab Ex Misc-Supervision Fees	
BH Management	BH Management - BH Management		1779-13	Rehab Ex Misc-Salaries	
BH Management	BH Management - BH Management		1779-14	Rehab Ex Misc-Flex Application Costs	
BH Management	BH Management - BH Management		1779-90	Rehab Ex Misc-Other	
BH Management	BH Management - BH Management		1810-00	Deferred Loan Fees	
BH Management	BH Management - BH Management		1810-09	Deferred Loan Fees-Other	
BH Management	BH Management - BH Management		1815-00	Accumulated Amortization-Deferred Loan Fees	
BH Management	BH Management - BH Management		1815-09	Accumulated Amortization-Deferred Loan Fees Other	
BH Management	BH Management - BH Management		1820-00	Organizational Cost	
BH Management	BH Management - BH Management		1825-00	Accumulated Amortization-Organizational Costs	
BH Management	BH Management - BH Management		1910-00	Utility Deposits	
BH Management	BH Management - BH Management		1920-00	Exchange Account	
BH Management	BH Management - BH Management		2001-00	Accounts Payable	
BH Management	BH Management - BH Management		2001-01	Accounts Payable-BHMS	
BH Management	BH Management - BH Management		2001-05	Accounts Payable-Owner	
BH Management	BH Management - BH Management		2001-06	Accounts Payable-Transferred Payables	
BH Management	BH Management - BH Management		2001-07	Accounts Payable-Sales Tax	
BH Management	BH Management - BH Management		2001-09	Accounts Payable-Other	
BH Management	BH Management - BH Management		2003-00	Accrued Payables	
BH Management	BH Management - BH Management		2004-00	Accrued Mgmt Fees	
BH Management	BH Management - BH Management		2005-00	Accrued Utilities	
BH Management	BH Management - BH Management		2010-00	Accrued Interest Payable	
BH Management	BH Management - BH Management		2015-00	Accrued Sec Dep Interest	
BH Management	BH Management - BH Management		2025-00	Accrued Real Estate Taxes	
BH Management	BH Management - BH Management		2025-01	Accrued Personal Property Tax	
BH Management	BH Management - BH Management		2025-02	Accrued Franchise Tax	
BH Management	BH Management - BH Management		2030-00	Accrued Distribution	
BH Management	BH Management - BH Management		2035-00	Accrued Insurance	
BH Management	BH Management - BH Management		2040-00	Accrued Liabilities-BHE/BHM	
BH Management	BH Management - BH Management		2050-00	Short Term Notes Payable-Partners	
BH Management	BH Management - BH Management		2050-01	Short Term N/P-BHMS	
BH Management	BH Management - BH Management		2050-02	Short Term N/P-BH Equities	
BH Management	BH Management - BH Management		2050-03	Short Term N/P-Harry Bookey	
BH Management	BH Management - BH Management		2050-04	Short Term N/P-BH Opportunity Fund	
BH Management	BH Management - BH Management		2050-05	Short Term N/P-Partnership Funding	
BH Management	BH Management - BH Management		2050-06	Short Term N/P-PF II	
BH Management	BH Management - BH Management		2050-15	Short Term N/P-Due to a Property	
BH Management	BH Management - BH Management		2055-00	Partner Operating Loans-Principal	
BH Management	BH Management - BH Management		2120-00	Intercompany Clearing	
BH Management	BH Management - BH Management		2220-00	Prepaid Rent	
BH Management	BH Management - BH Management		2220-01	Prepaid Rent-HAP	
BH Management	BH Management - BH Management		2230-00	Notes Payable-Insurance	
BH Management	BH Management - BH Management		2240-00	Due to Seller	
BH Management	BH Management - BH Management		2240-09	Miscellaneous Due To	
BH Management	BH Management - BH Management		2280-00	Deferred Revenue	
BH Management	BH Management - BH Management		2290-00	Other Current Liabilities	
BH Management	BH Management - BH Management		2290-01	Checks Not Negotiated	
BH Management	BH Management - BH Management		2290-02	City Sales Tax Payable	
BH Management	BH Management - BH Management		2290-03	Prepaid Rent-Audit	
BH Management	BH Management - BH Management		2310-00	First Mortgage Payable	
BH Management	BH Management - BH Management		2315-00	First Mortgage-Principal Payments	
BH Management	BH Management - BH Management		2320-00	Second Mortgage Payable	
BH Management	BH Management - BH Management		2325-00	Second Mortgage-Principal Payments	
BH Management	BH Management - BH Management		2330-00	Third Mortgage Payable	
BH Management	BH Management - BH Management		2335-00	Third Mortgage-Principal Payments	
BH Management	BH Management - BH Management		2380-00	Premium/Discount Mortgage	
BH Management	BH Management - BH Management		2385-00	Accum Amort: Prem/Disc Mortgage	
BH Management	BH Management - BH Management		2450-00	Long Term Notes Payable-Partners	
BH Management	BH Management - BH Management		2450-02	Long Term N/P-BH Equities	
BH Management	BH Management - BH Management		2450-03	Long Term N/P-Harry Bookey	
BH Management	BH Management - BH Management		2450-04	Long Term N/P-BH Opportunity Fund	
BH Management	BH Management - BH Management		2450-05	Long Term N/P-Partnership Funding	
BH Management	BH Management - BH Management		2450-06	Long Term N/P-PF II	
BH Management	BH Management - BH Management		2450-07	Long Term N/P-PF III	
BH Management	BH Management - BH Management		2450-08	Long Term N/P-Partner Equity Notes	
BH Management	BH Management - BH Management		2450-09	Long Term N/P-Iowa State Bank	
BH Management	BH Management - BH Management		2450-10	Long Term N/P-BH Alexandria LLC	
BH Management	BH Management - BH Management		2450-11	Long Term N/P-BH Capital LLC	
BH Management	BH Management - BH Management		2450-12	Long Term N/P-BH Fixed Rate Fund LLC	
BH Management	BH Management - BH Management		2450-90	Long Term N/P-Miscellaneous	
BH Management	BH Management - BH Management		2455-00	Partner Equity Loans-Principal	
BH Management	BH Management - BH Management		2505-00	Security Deposits	
BH Management	BH Management - BH Management		2505-01	Pet Deposits	
BH Management	BH Management - BH Management		2505-02	Second Chance Deposits	
BH Management	BH Management - BH Management		2505-09	Other Deposits	
BH Management	BH Management - BH Management		2506-00	Security Deposits-Interest Liability	
BH Management	BH Management - BH Management		2507-00	Security Deposits-Clearing	
BH Management	BH Management - BH Management		2508-00	Unclaimed Security Deposits	
BH Management	BH Management - BH Management		3001-00	Entity Equity-Begining Capital	
BH Management	BH Management - BH Management		3001-02	Partner Equity-General Partner	
BH Management	BH Management - BH Management		3001-03	Partner Equity-Limited Partner	
BH Management	BH Management - BH Management		3002-00	Entity Contributions	
BH Management	BH Management - BH Management		3002-01	Entity Contributions-Other	
BH Management	BH Management - BH Management		3002-03	Entity Contributions-3rd	
BH Management	BH Management - BH Management		3002-04	Entity Contributions-4th	
BH Management	BH Management - BH Management		3002-05	Entity Contributions-5th	
BH Management	BH Management - BH Management		3002-06	Entity Contributions-6th	
BH Management	BH Management - BH Management		3002-07	Entity Contributions-Resource	
BH Management	BH Management - BH Management		3002-08	Entity Contributions-HAOFI	
BH Management	BH Management - BH Management		3100-00	Entity Distributions	
BH Management	BH Management - BH Management		3100-01	Entity Distributions-Other	
BH Management	BH Management - BH Management		3190-01	Return of Capital-Managing Partner	
BH Management	BH Management - BH Management		3190-02	Return of Capital-General Partner	
BH Management	BH Management - BH Management		3190-03	Return of Capital-Limited Partner	
BH Management	BH Management - BH Management		3190-04	Return of Capital-Class B Ltd	
BH Management	BH Management - BH Management		3190-05	Return of Capital-Class B LP	
BH Management	BH Management - BH Management		3200-00	Retained Earnings-Current Year	
BH Management	BH Management - BH Management		3200-01	Retained Earnings-Prior Year	
BH Management	BH Management - BH Management		4400-01	HAP Reversal	
BH Management	BH Management - BH Management		4400-02	HAP-Tenant Reversal	
BH Management	BH Management - BH Management		4400-03	HAP-Housing Assistance Payment	
BH Management	BH Management - BH Management		4400-04	Excess Income-Rent	
BH Management	BH Management - BH Management		4400-05	Tenant Based Subsidies-Rent Tax Credit	
BH Management	BH Management - BH Management		4409-00	Gain(Loss) to Market	
BH Management	BH Management - BH Management		4499-98	Total Gross Potential Rent	
BH Management	BH Management - BH Management		4530-02	Rent Abatement	
BH Management	BH Management - BH Management		4531-01	HAP Housing Discount	
BH Management	BH Management - BH Management		4540-01	Write-Offs-Deposit Ins Program	
BH Management	BH Management - BH Management		4545-00	Bad Debt Recovery	
BH Management	BH Management - BH Management		4561-00	Net Delinquency	
BH Management	BH Management - BH Management		4570-00	Fair Value Adj	
BH Management	BH Management - BH Management		4571-00	Fair Value Adj-GAAP Rent (FASB 13)	
BH Management	BH Management - BH Management		4599-98	Total Deductions	
BH Management	BH Management - BH Management		4615-00	App/Admin Fees Concession	
BH Management	BH Management - BH Management		4680-01	Damages-Painting	
BH Management	BH Management - BH Management		4680-02	Damages-Carpet Clean/Rep	
BH Management	BH Management - BH Management		4680-03	Damages-Carpet Repairs	
BH Management	BH Management - BH Management		4680-09	Damages-Other	
BH Management	BH Management - BH Management		4680-95	Damages-Write-Off	
BH Management	BH Management - BH Management		4690-09	Interest Income-Other	
BH Management	BH Management - BH Management		4760-01	Short Term Lease Fees	
BH Management	BH Management - BH Management		4760-02	Premium Lease Fees	
BH Management	BH Management - BH Management		4770-01	Guest Suite Rental Income	
BH Management	BH Management - BH Management		4771-01	Retail Income-Percentage Rent	
BH Management	BH Management - BH Management		4771-02	Retail Income-In Lieu of Base Rent	
BH Management	BH Management - BH Management		4771-05	Retail Income-Land Rent	
BH Management	BH Management - BH Management		4771-09	Retail Income-Other	
BH Management	BH Management - BH Management		4773-00	Common Area Maint Income	
BH Management	BH Management - BH Management		4773-01	Common Area Maint Income-Prior Year	
BH Management	BH Management - BH Management		4775-01	Member Initiation Fee	
BH Management	BH Management - BH Management		4775-02	Public Fees	
BH Management	BH Management - BH Management		4775-03	Cart Rental Fees	
BH Management	BH Management - BH Management		4775-04	Assignment Fee	
BH Management	BH Management - BH Management		4799-01	Utility Reimbursements-Affordable	
BH Management	BH Management - BH Management		4800-00	RE Taxes Billing	
BH Management	BH Management - BH Management		4831-00	Locks and Keys-Smart Locks	
BH Management	BH Management - BH Management		4911-00	E-Deposit Insurance	
BH Management	BH Management - BH Management		4912-00	Forced Place Insurance	
BH Management	BH Management - BH Management		4912-01	Forced Place Insurance-Expense	
BH Management	BH Management - BH Management		4913-00	E-Premium Rebate	
BH Management	BH Management - BH Management		4920-00	Asset Management Fee Income	
BH Management	BH Management - BH Management		4980-00	Investment in Sub	
BH Management	BH Management - BH Management		4990-01	Lease In Place Income	
BH Management	BH Management - BH Management		4999-98	Total Other Income	
BH Management	BH Management - BH Management		4999-99	Total Revenue	
BH Management	BH Management - BH Management		5003-00	Access Gate R/M	
BH Management	BH Management - BH Management		5010-00	Alarm Inspection R/M	
BH Management	BH Management - BH Management		5030-00	Appliances R/M	
BH Management	BH Management - BH Management		5070-00	Carpet/Vinyl R/M-Supplies	
BH Management	BH Management - BH Management		5070-01	Carpet/Vinyl R/M-Contract Labor	
BH Management	BH Management - BH Management		5080-00	Carpet/Vinyl Clean/Dye-Supplies	
BH Management	BH Management - BH Management		5080-01	Carpet/Vinyl Clean/Dye-Contract Labor	
BH Management	BH Management - BH Management		5090-00	Cleaning/Housekeeping-Supplies	
BH Management	BH Management - BH Management		5090-01	Cleaning/Housekeeping-Contract Labor	
BH Management	BH Management - BH Management		5110-00	Doors/Windows R/M	
BH Management	BH Management - BH Management		5120-00	Electrical R/M	
BH Management	BH Management - BH Management		5180-00	Equipment R/M	
BH Management	BH Management - BH Management		5180-10	Golf Course Tools/Equipment	
BH Management	BH Management - BH Management		5180-11	Golf Course Fuel/Oil	
BH Management	BH Management - BH Management		5180-12	Golf Course Supplies	
BH Management	BH Management - BH Management		5180-13	Golf Course Pro Shop Supplies	
BH Management	BH Management - BH Management		5210-00	Fire Safety	
BH Management	BH Management - BH Management		5220-00	Fixtures	
BH Management	BH Management - BH Management		5230-00	HVAC R/M-Supplies	
BH Management	BH Management - BH Management		5230-01	HVAC R/M-Contract Labor	
BH Management	BH Management - BH Management		5235-00	HVAC Preventative Maintenance	
BH Management	BH Management - BH Management		5240-00	Landscaping R/M-Supplies	
BH Management	BH Management - BH Management		5240-10	Golf Course R/M-Supplies	
BH Management	BH Management - BH Management		5240-11	Golf Course R/M-Contract Labor	
BH Management	BH Management - BH Management		5241-00	Landscaping-Seasonal/Tree Trim	
BH Management	BH Management - BH Management		5241-10	Golf Course Fertilizer/Chemicals/Sand	
BH Management	BH Management - BH Management		5242-00	Landscaping-Irrigation/Sprinkler R/M	
BH Management	BH Management - BH Management		5242-10	Golf Course Irrigation	
BH Management	BH Management - BH Management		5245-00	Landscaping-Contract	
BH Management	BH Management - BH Management		5245-10	Golf Course Landscaping/Grounds-Contract	
BH Management	BH Management - BH Management		5250-00	Locks/Keys R/M	
BH Management	BH Management - BH Management		5260-00	Resurfacing/Re-Glazing	
BH Management	BH Management - BH Management		5270-00	Painting Interior-Supplies	
BH Management	BH Management - BH Management		5270-01	Painting Interior-Contract Labor	
BH Management	BH Management - BH Management		5270-09	Painting/Drywall-Other	
BH Management	BH Management - BH Management		5280-00	Parking Lot R/M	
BH Management	BH Management - BH Management		5300-00	Plumbing R/M-Supplies	
BH Management	BH Management - BH Management		5300-01	Plumbing R/M-Contract Labor	
BH Management	BH Management - BH Management		5310-00	Pool R/M-Supplies	
BH Management	BH Management - BH Management		5310-01	Pool R/M-Contract Labor	
BH Management	BH Management - BH Management		5320-00	Roof/Gutter R/M	
BH Management	BH Management - BH Management		5340-00	Sidewalk/Curb R/M	
BH Management	BH Management - BH Management		5350-00	Signage R/M	
BH Management	BH Management - BH Management		5400-00	Maintenance Uniforms	
BH Management	BH Management - BH Management		5410-00	Wallpaper	
BH Management	BH Management - BH Management		5420-00	Window Coverings	
BH Management	BH Management - BH Management		5490-00	Miscellaneous Exterior R/M	
BH Management	BH Management - BH Management		5493-00	Miscellaneous Interior R/M	
BH Management	BH Management - BH Management		5496-00	Miscellaneous Outside Contracts	
BH Management	BH Management - BH Management		5999-98	Total Repairs and Maintenance	
BH Management	BH Management - BH Management		6110-00	Admin Salaries	
BH Management	BH Management - BH Management		6110-01	Admin Salaries-Assistant Mgr	
BH Management	BH Management - BH Management		6110-02	Admin Salaries-Leasing	
BH Management	BH Management - BH Management		6110-09	Admin Salaries-Other	
BH Management	BH Management - BH Management		6110-10	Admin Salaries-Overtime	
BH Management	BH Management - BH Management		6120-00	Maint Salaries	
BH Management	BH Management - BH Management		6120-01	Maint Salaries-Technicals	
BH Management	BH Management - BH Management		6120-02	Maint Salaries-Housekeeping	
BH Management	BH Management - BH Management		6120-03	Maint Salaries-Groundskeeping	
BH Management	BH Management - BH Management		6120-04	Maint Salaries-Maint Manager	
BH Management	BH Management - BH Management		6120-09	Maint Salaries-Other	
BH Management	BH Management - BH Management		6120-10	Maint Salaries-Overtime	
BH Management	BH Management - BH Management		6120-11	Maint Salaries-Pro Shop	
BH Management	BH Management - BH Management		6120-20	Maint Salaries-Golf Course	
BH Management	BH Management - BH Management		6160-00	Salaries-Security	
BH Management	BH Management - BH Management		6170-00	Bonuses-Performance	
BH Management	BH Management - BH Management		6170-01	Bonuses-Leasing/Renewal	
BH Management	BH Management - BH Management		6170-09	Bonuses-Other	
BH Management	BH Management - BH Management		6170-10	Commissions/Bonuses-Golf Course	
BH Management	BH Management - BH Management		6180-00	Taxes-FICA/Medicare	
BH Management	BH Management - BH Management		6180-10	Taxes-Golf Course Payroll	
BH Management	BH Management - BH Management		6190-00	Taxes-Federal Unemployment	
BH Management	BH Management - BH Management		6200-00	Taxes-State Unemployment	
BH Management	BH Management - BH Management		6220-00	Insurance-Workers Comp	
BH Management	BH Management - BH Management		6220-10	Insurance-Workers Comp Golf Course	
BH Management	BH Management - BH Management		6230-00	Insurance-Health/Life/LTD	
BH Management	BH Management - BH Management		6230-10	Insurance-Health/Life/LTD Golf Course	
BH Management	BH Management - BH Management		6240-00	Pension/Profit Sharing	
BH Management	BH Management - BH Management		6260-00	Security-Third Party Contracts	
BH Management	BH Management - BH Management		6270-00	Temporary Help-Office	
BH Management	BH Management - BH Management		6270-01	Temporary Help-Maint	
BH Management	BH Management - BH Management		6290-00	Labor Expenses-Other	
BH Management	BH Management - BH Management		6290-01	Payroll Clearing-Taxable Rental Discount	
BH Management	BH Management - BH Management		6290-10	Labor Expenses-Other Golf Course	
BH Management	BH Management - BH Management		6299-98	Total Labor Costs	
BH Management	BH Management - BH Management		6305-01	Resident Activities	
BH Management	BH Management - BH Management		6310-00	Resident Newsletter	
BH Management	BH Management - BH Management		6345-00	Radio/TV Advertising	
BH Management	BH Management - BH Management		6390-01	Retail Leasing-Other	
BH Management	BH Management - BH Management		6399-98	Total Advertising and Promotions	
BH Management	BH Management - BH Management		6510-00	Bank Charges	
BH Management	BH Management - BH Management		6510-10	Bank & Credit Card Processing Fees	
BH Management	BH Management - BH Management		6530-00	Internet/WAN	
BH Management	BH Management - BH Management		6540-00	Computer Maint/Supplies	
BH Management	BH Management - BH Management		6541-00	Computer Software Contract	
BH Management	BH Management - BH Management		6550-00	Copier/Fax-Maint/Supplies	
BH Management	BH Management - BH Management		6555-00	Printing	
BH Management	BH Management - BH Management		6580-00	Credit Check Fees	
BH Management	BH Management - BH Management		6590-00	Office Admin Career Apparel	
BH Management	BH Management - BH Management		6600-00	Dues/Subscriptions	
BH Management	BH Management - BH Management		6601-00	Owner's Assoc Dues	
BH Management	BH Management - BH Management		6610-00	Education/Training	
BH Management	BH Management - BH Management		6620-00	Interest on Escrow Deposits	
BH Management	BH Management - BH Management		6630-00	Furn/Equip Lease	
BH Management	BH Management - BH Management		6630-10	Furn/Equip Lease-Golf Course	
BH Management	BH Management - BH Management		6640-00	Accounting Fees	
BH Management	BH Management - BH Management		6650-00	Licenses/Fees	
BH Management	BH Management - BH Management		6655-00	Lease Forms	
BH Management	BH Management - BH Management		6660-00	Model Unit Expense	
BH Management	BH Management - BH Management		6670-00	Office Supplies	
BH Management	BH Management - BH Management		6680-00	Postage/Delivery	
BH Management	BH Management - BH Management		6685-00	Postage/Delivery-Recovery	
BH Management	BH Management - BH Management		6700-00	Professional Fees	
BH Management	BH Management - BH Management		6705-00	Eviction Fees-Recovery	
BH Management	BH Management - BH Management		6720-00	Special Facilities Expense	
BH Management	BH Management - BH Management		6720-01	Special Facilities-Clubroom	
BH Management	BH Management - BH Management		6720-10	Cable-Golf Course	
BH Management	BH Management - BH Management		6730-00	Managers Conference	
BH Management	BH Management - BH Management		6740-00	Answering Service	
BH Management	BH Management - BH Management		6750-00	Pager Service	
BH Management	BH Management - BH Management		6760-00	Telephone Service	
BH Management	BH Management - BH Management		6770-00	Employee Recognition	
BH Management	BH Management - BH Management		6780-00	Travel/Mileage	
BH Management	BH Management - BH Management		6785-00	Meals/Entertainment	
BH Management	BH Management - BH Management		6810-00	Job Postings/Employee Recruitment	
BH Management	BH Management - BH Management		6820-00	Office Alarm Contract	
BH Management	BH Management - BH Management		6890-00	Misc G/A Expense	
BH Management	BH Management - BH Management		6890-01	HAP-Repayment Expense Recovery	
BH Management	BH Management - BH Management		6890-10	Cash Overage/Shortage	
BH Management	BH Management - BH Management		6899-98	Total General and Administrative Costs	
BH Management	BH Management - BH Management		7140-10	Water-Golf Course	
BH Management	BH Management - BH Management		7155-00	Utilities Residents-Recovery	
BH Management	BH Management - BH Management		7185-00	Meter Read/Submetering Service-Recovery	
BH Management	BH Management - BH Management		7199-98	Total Utility Costs	
BH Management	BH Management - BH Management		7210-00	Management Fees	
BH Management	BH Management - BH Management		7290-00	Other Management Fees	
BH Management	BH Management - BH Management		7299-98	Total Management Fees	
BH Management	BH Management - BH Management		7310-00	Property/Liability Insurance	
BH Management	BH Management - BH Management		7311-00	Flood Insurance	
BH Management	BH Management - BH Management		7312-00	General Liability Insurance	
BH Management	BH Management - BH Management		7313-00	Wind Insurance	
BH Management	BH Management - BH Management		7314-00	Umbrella Insurance	
BH Management	BH Management - BH Management		7318-00	Insurance Premium	
BH Management	BH Management - BH Management		7319-00	Insurance-Other	
BH Management	BH Management - BH Management		7360-00	Utility Bonds	
BH Management	BH Management - BH Management		7399-98	Total Insurance and Bonds	
BH Management	BH Management - BH Management		7410-00	Taxes-Real Property	
BH Management	BH Management - BH Management		7415-00	Property Taxes-Prior Year	
BH Management	BH Management - BH Management		7420-00	Property Tax Refunds	
BH Management	BH Management - BH Management		7440-00	Taxes-Personal Property	
BH Management	BH Management - BH Management		7499-98	Total Property Taxes	
BH Management	BH Management - BH Management		7510-00	Security Patrol Contract	
BH Management	BH Management - BH Management		7511-00	Security Alarm Contract	
BH Management	BH Management - BH Management		7515-00	Fire Alarm Contract	
BH Management	BH Management - BH Management		7520-00	Bulk Cable/Internet Contract	
BH Management	BH Management - BH Management		7530-00	Water Conditioner/Softner	
BH Management	BH Management - BH Management		7540-00	Video Rental Contract	
BH Management	BH Management - BH Management		7590-00	Other Tenant Service Contracts	
BH Management	BH Management - BH Management		7610-00	Snow Removal	
BH Management	BH Management - BH Management		7620-00	Elevator R/M	
BH Management	BH Management - BH Management		7625-00	Elevator Test/Permit	
BH Management	BH Management - BH Management		7680-00	Interior Hallways Expense	
BH Management	BH Management - BH Management		7710-00	Locator Fees	
BH Management	BH Management - BH Management		7720-00	Revenue Mgmt Software	
BH Management	BH Management - BH Management		7810-00	Corporate Unit Expense	
BH Management	BH Management - BH Management		7900-00	Profit/Cost Center	
BH Management	BH Management - BH Management		7980-00	Storm Damage R/M	
BH Management	BH Management - BH Management		7990-00	Other Property Expenses	
BH Management	BH Management - BH Management		7990-10	COGS-Golf Course Pro Shop	
BH Management	BH Management - BH Management		7990-11	COGS-Food & Beverage	
BH Management	BH Management - BH Management		7999-97	Total Other Property Expenses	
BH Management	BH Management - BH Management		7999-98	Total Operating Expenses	
BH Management	BH Management - BH Management		7999-99	Net Operating Income	
BH Management	BH Management - BH Management		8010-00	Interest-First Mortgage	
BH Management	BH Management - BH Management		8049-00	Other Interest	
BH Management	BH Management - BH Management		8060-00	Debt Issuance Expense	
BH Management	BH Management - BH Management		8070-00	Interest-Partner Equity Loan	
BH Management	BH Management - BH Management		8071-00	Interest-Partner Equity Loan-Bank	
BH Management	BH Management - BH Management		8090-00	Other Interest	
BH Management	BH Management - BH Management		8090-01	Interest Swaps-Effective	
BH Management	BH Management - BH Management		8091-00	Capitalized Interest Amortization	
BH Management	BH Management - BH Management		8095-00	Amortization Prem/Disc Mortgage	
BH Management	BH Management - BH Management		8095-01	Amortization FV Rate Cap	
BH Management	BH Management - BH Management		8095-02	Amortization FV Rate Cap OCI Write-off	
BH Management	BH Management - BH Management		8095-05	Amort Prem/Disc Mortgage W/O	
BH Management	BH Management - BH Management		8099-98	Total Debt Service-Property	
BH Management	BH Management - BH Management		8110-00	Interest-Partner Operating Loan	
BH Management	BH Management - BH Management		8110-77	Partner Operating Loans-Principal-Do Not Use	
BH Management	BH Management - BH Management		8120-00	Interest-Partner Equity Loan	
BH Management	BH Management - BH Management		8120-77	Partner Equity Loans-Principal-Do Not Use	
BH Management	BH Management - BH Management		8121-00	Interest-Partner Equity Loan-Bank	
BH Management	BH Management - BH Management		8121-77	Ptr. Equity Loan Principal-1st American Bank-Do Not Use	
BH Management	BH Management - BH Management		8199-98	Total Debt Service-Entity Loans	
BH Management	BH Management - BH Management		8618-00	Recurring Capital Expense	
BH Management	BH Management - BH Management		8618-01	Cap Ex Int Apt-Floor Tile	
BH Management	BH Management - BH Management		8618-02	Cap Ex Int Apt-Appliances	
BH Management	BH Management - BH Management		8618-04	Cap Ex Int Apt-Mirrors	
BH Management	BH Management - BH Management		8618-06	Cap Ex Int Apt-Cabinetry	
BH Management	BH Management - BH Management		8618-07	Cap Ex Int Apt-Counters	
BH Management	BH Management - BH Management		8618-08	Cap Ex Int Apt-Wood Trim/Doors	
BH Management	BH Management - BH Management		8618-09	Cap Ex Int Apt-Carpet	
BH Management	BH Management - BH Management		8618-10	Cap Ex Int Apt-Plumb Fixt/Sinks/Garb Disp	
BH Management	BH Management - BH Management		8618-11	Cap Ex Int Apt-Replumbing	
BH Management	BH Management - BH Management		8618-12	Cap Ex Int Apt-Light Fixtures	
BH Management	BH Management - BH Management		8618-15	Cap Ex Int Apt-Tub Enclosures	
BH Management	BH Management - BH Management		8618-16	Cap Ex Int Apt-Ceiling Fans	
BH Management	BH Management - BH Management		8618-17	Cap Ex Int Apt-Lt. Wt. Concrete	
BH Management	BH Management - BH Management		8618-18	Cap Ex Int Apt-Ceilings/Walls	
BH Management	BH Management - BH Management		8618-19	Cap Ex Int Apt-Resurfacing/ReGlazing	
BH Management	BH Management - BH Management		8618-90	Cap Ex Int Apt-Other	
BH Management	BH Management - BH Management		8619-60	Cap Ex Rec-Furnaces/AC Units	
BH Management	BH Management - BH Management		8619-61	Cap Ex Rec-Hot Water Heaters	
BH Management	BH Management - BH Management		8650-00	Non-Recurring Capital Expense	
